validation_delta,timedelta_input,timedelta_output,to_predict,input_sampling,output_sampling,stepwidth,score,runtime
"7 days, 0:00:00",3:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,0:10:00,0.46803067132230691,0:03:42.908922
"7 days, 0:00:00",3:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,"1 day, 0:00:00",-71.000276822480814,0:00:01.736149
"7 days, 0:00:00",4:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,0:10:00,0.48508249102819878,0:04:20.020947
"7 days, 0:00:00",4:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,"1 day, 0:00:00",-3.4587891942796283,0:00:01.848708
"7 days, 0:00:00",6:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,0:10:00,0.49809631857829773,0:05:35.296429
"7 days, 0:00:00",6:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,"1 day, 0:00:00",-0.49172774886736992,0:00:02.123992
"7 days, 0:00:00",12:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,0:10:00,0.54121583769152015,0:09:55.335995
"7 days, 0:00:00",12:00:00,3:00:00,"['Energie', 'Leistung']",10Min,10Min,"1 day, 0:00:00",0.13669733870950396,0:00:04.823318
"7 days, 0:00:00","1 day, 0:00:00",3:00:00,"['Energie', 'Leistung']",10Min,10Min,0:10:00,0.63375451661053417,0:26:53.387429
"7 days, 0:00:00","1 day, 0:00:00",3:00:00,"['Energie', 'Leistung']",10Min,10Min,"1 day, 0:00:00",0.9379893017114832,0:00:04.062490
